Informazioni cronologiche;Qual è la tua fascia d'età?;Genere;Qual è il tuo livello di esperienza nel nuoto?;System Usability Scale (SUS) [1. Penso che mi piacerebbe usare questo sito frequentemente.];System Usability Scale (SUS) [2. Ho trovato il sito inutilmente complesso.];System Usability Scale (SUS) [3. Ho trovato il sito facile da usare.];System Usability Scale (SUS) [4. Penso che avrei bisogno di supporto tecnico per usare questo sito.];System Usability Scale (SUS) [5. Ho trovato le diverse funzioni del sito ben integrate.];System Usability Scale (SUS) [6. Ho trovato troppa incoerenza in questo sito.];System Usability Scale (SUS) [7. Immagino che la maggior parte delle persone imparerebbe a usare questo sito molto rapidamente.];System Usability Scale (SUS) [8. Ho trovato il sito molto macchinoso da usare.];System Usability Scale (SUS) [9. Mi sono sentito sicuro nell'usare questo sito.];System Usability Scale (SUS) [10. Ho dovuto imparare molte cose prima di poter gestire il sito.];Cosa hai apprezzato di più del nostro sito?;Hai suggerimenti per migliorare la navigazione o i contenuti?
2026/07/10 5:56:12 PM EEST;18-30;Uomo;Non nuoto e non mi interessa l'argomento;Neutrale;Fortemente in disaccordo;D'accordo;Fortemente in disaccordo;Fortemente d'accordo;Fortemente in disaccordo;D'accordo;In disaccordo;Fortemente d'accordo;Fortemente in disaccordo;La parte estetica;Nessun suggerimento, perfetto così 
2026/07/10 6:01:20 PM EEST;18-30;Uomo;Nuotatore agonistico;D'accordo;Neutrale;D'accordo;D'accordo;Fortemente d'accordo;In disaccordo;D'accordo;Fortemente in disaccordo;D'accordo;Fortemente in disaccordo;La grafica;No
2026/07/10 6:02:53 PM EEST;18-30;Uomo;Nuotatore agonistico;D'accordo;Neutrale;D'accordo;Fortemente in disaccordo;Neutrale;Fortemente in disaccordo;In disaccordo;Neutrale;D'accordo;Fortemente in disaccordo;Giochino idea molto carina;Mettere le graduatorie prendendo solo i migliori tempi per atleta, faccio poi un po' fatica a interpretare i grafici sulle singole nazioni
2026/07/10 6:33:44 PM EEST;18-30;Donna;Nuotatore agonistico;D'accordo;In disaccordo;D'accordo;In disaccordo;D'accordo;Fortemente in disaccordo;Fortemente d'accordo;D'accordo;Fortemente d'accordo;In disaccordo;;
2026/07/10 6:37:43 PM EEST;Sopra i 30;Uomo;Nuotatore agonistico;D'accordo;Neutrale;Neutrale;In disaccordo;D'accordo;Fortemente in disaccordo;In disaccordo;D'accordo;Neutrale;Neutrale;;Renderla più facile da telefono
2026/07/10 6:48:38 PM EEST;18-30;Uomo;Nuotatore amatoriale / Hobby;D'accordo;In disaccordo;D'accordo;Fortemente in disaccordo;Fortemente d'accordo;In disaccordo;D'accordo;In disaccordo;Fortemente d'accordo;Fortemente in disaccordo;i grafici;
2026/07/11 4:29:01 PM EEST;18-30;Uomo;Nuotatore agonistico;Fortemente d'accordo;In disaccordo;D'accordo;Neutrale;D'accordo;In disaccordo;Neutrale;In disaccordo;Neutrale;In disaccordo;;
2026/07/11 5:28:10 PM EEST;18-30;Uomo;Non nuoto, ma mi interesso all'argomento;Neutrale;In disaccordo;D'accordo;Fortemente in disaccordo;D'accordo;Fortemente in disaccordo;D'accordo;In disaccordo;D'accordo;Fortemente in disaccordo;;
2026/07/12 9:41:17 PM EEST;18-30;Donna;Nuotatore agonistico;Fortemente d'accordo;Fortemente d'accordo;D'accordo;Fortemente in disaccordo;Fortemente d'accordo;Fortemente in disaccordo;Fortemente d'accordo;Fortemente in disaccordo;Fortemente d'accordo;Fortemente in disaccordo;il gioco finale ;no
2026/07/12 9:41:53 PM EEST;18-30;Uomo;Nuotatore agonistico;Fortemente d'accordo;In disaccordo;Fortemente d'accordo;Fortemente in disaccordo;D'accordo;Fortemente in disaccordo;Fortemente d'accordo;Fortemente in disaccordo;Fortemente d'accordo;Fortemente in disaccordo;I grafici relativi ai record nelle diverse gare;Miglioramento dei lievi bug nella versione smartphone rispetto a quella per pc, più fluida
2026/07/12 9:42:09 PM EEST;18-30;Donna;Nuotatore agonistico;Fortemente d'accordo;Fortemente in disaccordo;D'accordo;Fortemente in disaccordo;Fortemente d'accordo;Fortemente in disaccordo;D'accordo;In disaccordo;Fortemente d'accordo;D'accordo;La possibilità di comparare i vari record nel tempo e nelle varie manifestazioni ;
